Name	Schema	Create Date	Policy Health State
AccountReview	dbo	3/1/2010 3:24 PM	
APP_EThnic_INFO	dbo	2/17/2009 1:04 PM	
APP_Rec	dbo	12/2/2008 12:57 PM	
appFACLIST	dbo	9/16/2008 10:37 AM	
appGENINFO	dbo	10/24/2021 4:46 PM	
appGENINFO_ARC	dbo	9/29/2017 1:42 PM	
Applicant_History	dbo	12/9/2008 10:38 AM	
appPSTM	dbo	10/23/2008 8:49 AM	
appPSTM_ARC	dbo	9/9/2014 2:49 PM	
appPSTM_beforeS2009	dbo	12/10/2009 10:11 AM	
appPSTM_MC	dbo	9/21/2010 9:39 AM	
APPRec	dbo	9/26/2008 3:08 PM	
appUnivAttend	dbo	9/9/2014 2:54 PM	
appUnivAttend_ARC	dbo	10/13/2008 3:58 PM	
bchIDs	dbo	5/6/2020 7:09 PM	
blockGrant	dbo	4/1/2009 2:22 PM	
cdosysmail_failures	dbo	5/26/2010 11:22 AM	
ChemTool_Perm	dbo	9/14/2008 1:31 PM	
CHMRPT_CUTOFF	dbo	8/13/2009 4:04 PM	
Class_Evaluation_CleanTAID	dbo	2/14/2012 1:52 PM	
Class_Evaluation_Complete	dbo	4/16/2014 1:50 PM	
Class_Evaluation_Complete_All	dbo	6/6/2014 11:11 AM	
Class_Evaluation_FACIDS	dbo	9/30/2013 11:13 AM	
Class_Evaluation_FacList	dbo	2/16/2016 1:19 PM	
Class_Evaluation_FacList_2107	dbo	11/12/2010 10:48 AM	
Class_Evaluation_FacList_2144_ALL	dbo	6/18/2014 2:54 PM	
Class_Evaluation_FacList_2157	dbo	2/23/2015 12:27 PM	
Class_Evaluation_FacList_bkup	dbo	11/16/2020 1:19 PM	
Class_Evaluation_Grad_all	dbo	10/5/2012 1:00 PM	
Class_Evaluation_Roster	dbo	8/5/2023 10:01 AM	
Class_Evaluation_Roster_2207_B	dbo	11/9/2020 9:16 PM	
Class_Evaluation_Roster_all	dbo	4/21/2014 2:15 PM	
Class_Evaluation_Roster_bk	dbo	11/23/2020 9:06 PM	
Class_Evaluation_Roster_Complete_2107	dbo	11/12/2010 4:12 PM	
Class_Evaluation_Roster_copy	dbo	2/27/2020 1:00 PM	
Class_Evaluation_Roster_TA	dbo	4/20/2011 2:48 PM	
Class_Evaluation_Roster_TA_2111_M	dbo	2/14/2011 1:36 PM	
Class_Evaluation_TA	dbo	10/2/2014 9:05 AM	
Class_Evaluation_TA_2107	dbo	2/9/2011 11:43 AM	
Class_Evaluation_TA_2107m	dbo	9/29/2010 4:41 PM	
Class_Evaluation_TA_2111m	dbo	12/1/2010 11:02 AM	
