Name	Schema	Create Date	Policy Health State	Owner
ALL_APPINFO	dbo	12/2/2008 12:48 PM		dbo
all_current	dbo	11/3/2006 10:48 AM		dbo
All_TA	dbo	12/23/2023 4:48 PM		dbo
all_TA_Fall2006	dbo	12/4/2006 2:35 PM		dbo
all_TA_Sp2007	dbo	8/2/2006 3:03 PM		dbo
ALL_TA_Summer	dbo	5/5/2015 10:26 AM		dbo
all_TASum2007	dbo	3/27/2007 1:59 PM		dbo
APPINFO	dbo	11/1/2007 10:03 AM		dbo
APPLIST	dbo	11/13/2006 3:03 PM		dbo
APPList_F09	dbo	11/6/2009 3:06 PM		dbo
Applist_F11	dbo	10/14/2011 9:24 AM		dbo
APPLIST_S10	dbo	7/13/2010 9:02 AM		dbo
Applist_S11	dbo	8/26/2011 10:43 AM		dbo
AppList_Sum09	dbo	3/15/2010 10:20 AM		dbo
APPlist_summer	dbo	3/20/2008 1:38 PM		dbo
APPListS07	dbo	10/31/2007 3:12 PM		dbo
Assinged_Line	dbo	7/13/2010 12:51 PM		dbo
Assinged_Line_s10	dbo	8/7/2006 9:27 AM		dbo
ave_allTA_Lab_2107	dbo	12/21/2010 2:57 PM		dbo
ave_allTA_Lab_21110	dbo	3/11/2011 3:39 PM		dbo
ave_allTA_Lab_21111	dbo	5/5/2011 2:56 PM		dbo
ave_allTA_Lab_2114	dbo	8/9/2011 3:55 PM		dbo
ave_allTA_Lab_21170	dbo	10/20/2011 2:50 PM		dbo
ave_allTA_Lab_21171	dbo	12/20/2011 10:39 AM		dbo
ave_allTA_Lab_21210	dbo	3/1/2012 1:59 PM		dbo
ave_allTA_Lab_21211	dbo	5/7/2012 4:35 PM		dbo
ave_allTA_Lab_2124	dbo	8/23/2012 10:55 AM		dbo
ave_allTA_Lab_21270	dbo	10/26/2012 2:20 PM		dbo
ave_allTA_Lab_21271	dbo	1/2/2013 4:25 PM		dbo
ave_allTA_Lab_21310	dbo	3/6/2013 10:54 AM		dbo
ave_allTA_Lab_21311	dbo	5/15/2013 1:39 PM		dbo
ave_allTA_Lab_2134	dbo	8/14/2013 4:39 PM		dbo
